angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,ground_truth,image_path
173,173,39,40,83,79,179,178,171,171,0,data/forwardBend125\10.jpg
173,173,39,40,83,79,179,178,171,171,0,data/forwardBend125\10.jpg
170,174,71,78,80,73,178,179,168,174,0,data/forwardBend125\13.jpg
170,174,71,78,80,73,178,179,168,174,0,data/forwardBend125\13.jpg
129,115,5,2,91,89,157,156,157,160,0,data/forwardBend125\17.jpg
129,115,5,2,91,89,157,156,157,160,0,data/forwardBend125\17.jpg
174,176,74,75,73,71,177,176,179,175,0,data/forwardBend125\2.jpg
174,176,74,75,73,71,177,176,179,175,0,data/forwardBend125\2.jpg
176,176,76,76,72,69,174,174,165,168,0,data/forwardBend125\21.jpg
176,176,76,76,72,69,174,174,165,168,0,data/forwardBend125\21.jpg
158,157,82,82,53,55,173,176,175,176,0,data/forwardBend125\24.jpg
158,157,82,82,53,55,173,176,175,176,0,data/forwardBend125\24.jpg
168,170,43,45,80,77,175,173,175,176,0,data/forwardBend125\25.jpg
168,170,43,45,80,77,175,173,175,176,0,data/forwardBend125\25.jpg
167,169,22,25,99,96,160,165,167,167,0,data/forwardBend125\27.jpg
167,169,22,25,99,96,160,165,167,167,0,data/forwardBend125\27.jpg
168,174,40,46,88,84,176,175,165,173,0,data/forwardBend125\28.jpg
168,174,40,46,88,84,176,175,165,173,0,data/forwardBend125\28.jpg
164,167,72,78,66,62,179,178,162,171,0,data/forwardBend125\29.jpg
164,167,72,78,66,62,179,178,162,171,0,data/forwardBend125\29.jpg
162,164,59,63,85,80,178,177,167,174,0,data/forwardBend125\3.jpg
162,164,59,63,85,80,178,177,167,174,0,data/forwardBend125\3.jpg
169,172,53,59,91,85,173,171,164,173,0,data/forwardBend125\31.jpg
169,172,53,59,91,85,173,171,164,173,0,data/forwardBend125\31.jpg
170,168,38,40,74,70,171,173,167,165,0,data/forwardBend125\34.jpg
170,168,38,40,74,70,171,173,167,165,0,data/forwardBend125\34.jpg
176,174,67,70,71,63,172,178,143,156,0,data/forwardBend125\35.jpg
176,174,67,70,71,63,172,178,143,156,0,data/forwardBend125\35.jpg
169,177,65,69,73,72,177,177,154,165,0,data/forwardBend125\36.jpg
169,177,65,69,73,72,177,177,154,165,0,data/forwardBend125\36.jpg
154,150,22,20,101,98,176,177,158,164,0,data/forwardBend125\38.jpg
154,150,22,20,101,98,176,177,158,164,0,data/forwardBend125\38.jpg
168,174,40,46,88,84,176,175,165,173,0,data/forwardBend125\41.jpg
168,174,40,46,88,84,176,175,165,173,0,data/forwardBend125\41.jpg
174,178,54,54,82,78,169,170,148,165,0,data/forwardBend125\42.jpg
174,178,54,54,82,78,169,170,148,165,0,data/forwardBend125\42.jpg
178,176,73,69,64,63,173,172,161,169,0,data/forwardBend125\44.jpg
178,176,73,69,64,63,173,172,161,169,0,data/forwardBend125\44.jpg
167,170,51,54,85,81,174,173,162,167,0,data/forwardBend125\45.jpg
167,170,51,54,85,81,174,173,162,167,0,data/forwardBend125\45.jpg
150,156,34,41,78,72,176,173,165,176,0,data/forwardBend125\46.jpg
